SourceMacAddress,DestinationMacAddress,SourceIPAddress,DestinationIPAddress,SourcePortNo.,DestinationPortNo.
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51159,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51159,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,36161,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,36161,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60852,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60852,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,58681,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,58681,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,52563,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,52563,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,52563,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,52563,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,37849,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,37849,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,37849,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,37849,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,49203,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,49203,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,49203,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,49203,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,58935,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,58935,53,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,58935,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,58935,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,58681,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,53759,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,53759,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,33103,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,33103,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,46985,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.40.15,46985,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,
52:54:0:12:35:2,8:0:27:30:b2:8f,
52:54:0:12:35:2,8:0:27:30:b2:8f,172.50.32.10,10.0.2.15,53,58681,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60677,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60677,53,
8:0:27:30:b2:8f,1:0:5e:0:0:fb,10.0.2.15,224.0.0.251,5353,5353,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51159,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,51159,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,36161,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,36161,53,
8:0:27:30:b2:8f,52:54:0:12:35:2,10.0.2.15,172.50.32.10,60852,53,
